Date,Close/Last,Volume,Open,High,Low
04/15/2024,88.89,55993060,89.22,89.26,88.523
04/12/2024,90.29,47900110,90.64,90.95,90.28
04/11/2024,89.81,65751180,90.38,90.44,89.51
04/10/2024,90.22,74368940,91.20,91.30,90.05
04/09/2024,92.23,32537020,91.869,92.36,91.835
04/08/2024,91.38,37879800,91.23,91.59,91.13
04/05/2024,91.39,42495900,91.69,92.18,91.38
04/04/2024,92.68,47957410,92.63,92.76,92.04
04/03/2024,92.02,45494440,91.26,92.05,91.05
04/02/2024,92.04,43086300,91.57,92.20,91.335
04/01/2024,92.55,48945450,93.29,93.30,92.455
03/28/2024,94.62,34540430,94.49,95.02,94.32
03/27/2024,94.70,50157820,93.99,94.70,93.94
03/26/2024,93.77,34423000,93.51,93.87,93.2813
03/25/2024,93.51,24011760,93.707,93.75,93.30
03/22/2024,93.98,30262280,94.19,94.21,93.78
03/21/2024,93.09,34276640,93.27,93.43,92.725
03/20/2024,92.89,43460080,93.10,93.79,92.29
03/19/2024,92.92,26953130,92.85,93.27,92.69
03/18/2024,92.66,29519540,92.73,92.99,92.50
03/15/2024,92.94,34997710,93.06,93.19,92.785
03/14/2024,92.97,58365560,93.73,93.75,92.86
03/13/2024,94.42,38270060,94.50,94.74,94.21
03/12/2024,94.88,29566000,95.04,95.21,94.69
03/11/2024,95.68,17787920,95.96,96.01,95.37
03/08/2024,95.73,25023230,95.80,96.045,95.48
03/07/2024,95.90,39075050,96.36,96.40,95.48
03/06/2024,95.99,40571580,95.49,96.17,95.41
03/05/2024,95.43,37721850,95.23,95.68,94.965
03/04/2024,94.09,23864210,93.70,94.155,93.68
03/01/2024,94.47,45832790,93.44,94.51,93.01
02/29/2024,94.18,51038610,93.82,94.30,93.78
02/28/2024,93.52,34574180,93.08,93.595,92.90
02/27/2024,92.93,30241950,93.24,93.47,92.845
02/26/2024,93.59,27855040,94.00,94.03,93.19
02/23/2024,93.87,38406710,92.75,93.999,92.75
02/22/2024,92.63,45190660,92.33,92.76,92.265
02/21/2024,92.18,36404240,92.83,92.895,92.0063
02/20/2024,92.84,24469330,92.79,93.19,92.72
