Date,Close/Last,Volume,Open,High,Low
03/18/2024,437.48,47323800,438.73,441.04,437.24
03/15/2024,433.92,73069820,436.07,438.8733,432.7417
03/14/2024,439.14,52195210,441.50,442.03,436.39
03/13/2024,440.25,37928690,442.65,442.67,439.12
03/12/2024,443.66,55300910,439.73,444.02,436.46
03/11/2024,437.39,45859990,437.51,438.66,435.44
03/08/2024,439.02,72095960,445.81,448.64,438.34
03/07/2024,445.45,44526670,442.42,446.72,440.86
03/06/2024,438.79,46234460,440.32,441.99,436.89
03/05/2024,436.05,57917140,440.94,440.95,433.65
03/04/2024,444.02,34325690,445.61,446.04,443.77
03/01/2024,445.61,43853030,439.90,446.58,439.84
02/29/2024,439.00,42495150,438.23,440.09,435.02
02/28/2024,435.27,32938820,435.43,436.67,434.30
02/27/2024,437.60,33713220,437.67,437.99,435.025
02/26/2024,436.55,33043240,437.60,438.60,436.355
02/23/2024,436.78,39853860,439.65,440.59,435.79
02/22/2024,438.07,53887750,434.49,439.12,433.71
02/21/2024,425.61,50179700,424.55,425.70,421.63
02/20/2024,427.32,53999450,428.55,430.08,423.50
02/16/2024,430.57,53716480,434.89,434.99,429.85
02/15/2024,434.51,38796140,433.92,434.98,431.33
02/14/2024,433.22,45092720,431.26,433.65,428.8799
02/13/2024,428.55,64491670,427.28,431.27,425.3305
02/12/2024,435.34,33203310,436.94,439.14,434.65
02/09/2024,437.05,36943910,433.94,437.845,433.1401
02/08/2024,432.79,29889890,432.11,433.56,431.42
02/07/2024,431.99,37712660,430.41,432.83,429.09
02/06/2024,427.59,35846130,429.61,430.22,425.22
02/05/2024,428.45,39889210,429.07,429.61,425.00
02/02/2024,429.01,59602440,423.80,430.24,422.79
02/01/2024,421.88,51008620,418.79,422.375,417.81
01/31/2024,416.97,64010650,420.85,422.8699,416.79
01/30/2024,425.30,36738960,427.10,427.68,424.38
01/29/2024,428.15,38694720,424.27,428.35,423.61
01/26/2024,423.81,37137030,424.44,426.21,423.15
01/25/2024,426.35,44367210,428.36,429.04,423.98
01/24/2024,425.83,46948020,427.44,429.85,425.33
01/23/2024,423.48,33003810,422.43,423.70,420.57
01/22/2024,421.73,44880640,423.41,424.7275,421.12
01/19/2024,421.18,70325120,415.22,421.34,414.625
01/18/2024,412.99,59562510,410.52,413.575,409.1601
01/17/2024,407.21,54385970,406.17,407.585,402.92
01/16/2024,409.52,43903030,408.31,411.12,406.83
01/12/2024,409.56,39594950,410.40,411.25,408.15
01/11/2024,409.35,54536200,409.79,411.2004,404.242
01/10/2024,408.50,33962770,406.07,409.515,405.17
01/09/2024,405.75,39132860,401.91,406.69,401.71
01/08/2024,404.95,42473800,397.99,405.24,397.8399
01/05/2024,396.75,44922810,396.45,399.56,395.34
01/04/2024,396.28,39432800,396.44,399.59,396.06
01/03/2024,398.33,47002800,399.93,401.00,397.89
01/02/2024,402.59,58026950,405.84,406.09,400.24
12/29/2023,409.52,42662120,411.28,411.64,407.58
12/28/2023,411.30,27029150,412.67,412.92,410.94
12/27/2023,411.50,31980480,410.95,411.7875,410.08
12/26/2023,410.88,22722550,409.25,411.56,409.15
12/22/2023,408.38,34314000,409.00,409.97,406.4787
12/21/2023,407.77,45568910,407.06,408.14,404.47
12/20/2023,403.08,54042440,408.35,410.4699,402.90
12/19/2023,409.16,35711860,407.54,409.28,407.345
12/18/2023,407.08,46609990,404.93,407.99,404.60
12/15/2023,405.34,62896650,404.18,406.5399,403.57
12/14/2023,403.39,55447810,404.98,406.30,400.34
12/13/2023,403.74,55408130,399.62,404.36,398.8399
12/12/2023,398.67,39221150,395.56,398.79,394.41
12/11/2023,395.52,41198020,391.74,395.79,391.53
12/08/2023,392.17,46687530,388.67,392.62,388.4801
12/07/2023,390.43,49593550,388.07,391.27,386.96
12/06/2023,385.05,41994070,390.27,390.37,384.70
12/05/2023,387.29,42932960,384.39,388.50,384.21
12/04/2023,386.32,51186940,386.09,386.595,382.66
12/01/2023,389.94,40490070,387.75,390.54,386.0726
11/30/2023,388.83,52834380,390.08,390.55,385.82
